,0
0,"want, find, way, end, racism, try, force, people, inject, themselves, ., that, i, i, what, i, see, bunch, people, all, races, standing, up, against, forced, vaccination, ., not, against, maxx, ., some, people, need, these, maxx, &, amp, ;, i, support, those, people, getting, their, shot, ., i, draw, line, at, force"
1,"this, child, almost, died, tetanus, ,, spent, months, hospital, at, cost, around, $, am, ,, his, parents, still, refused, vaccination, after, ., this, was, pre, -, pandemic, ."
2,"just, remember, my, ., leblanc, the, pressure, that, the, provincial, am, and, the, business, world, asked, for, it, to, be, able, to, re, -, open, the, borders, winking_face, air, traffic, ., +, will, the, provincial, govt, ,, ac, included, ,, block, tourists, who, will, not, have, a, pass, -, vaccination, at, the, hotel, at, the, restaurant"
3,"you, would, expect, cases, rise, significantly, ,, course, ,, vaccination, rates, come, into, play, as, does, space, ., we, as, adults, are, not, usually, confined, single, space, with, as, many, people, as, school, age, students, ., data, states, that, have, lifted, is, those, that, have, not, bears, this, out, ."
4,"depends, whether, vaccination, status, is, embedded, or, code, itself, ,, or, if, code, is, just, link, that, connects, back, end, ., i, read, about, it, when, it, was, released, but, can, ', i, remember, ., will, see, it, i, can, find, it, again, ."
5,"it, could, have, ripped, i, harder, or, do, you, think, masking, ,, isolation, ,, etc, ultimately, had, no, impact, honest, question, ,, i, look, at, those, spikes, think, maybe, they, would, have, looked, same, no, matter, what, ,, with, vaccination, only, thing, that, definitively, i, worked, i"
6,"they, do, this, at, vaccination, centers, as, well, ., they, refused, let, me, &, amp, ;, my, elderly, parent, wear, it, over, our, not, masks, ., lady, was, very, rude, &, amp, ;, said, i, could, i, have, couid, -, nineteen, &, amp, ;, it, could, be, mask, ., i, refused, &, amp, ;, did, not, take, no, answer, ., she, said, ok, begrudgingly, ., it, was, absurd, ."
7,"part, vanguard, vaccination, awareness, project, -, series, free, tools, help, i, -, suite, leaders, combat, vaccine, hesitancy, resistance, -, podcasts, ,, videos, articles, -, available, at, #, covidvaccineconfidence, #, vanguardvaccinationproject"
8,"correct, ., it, i, i, not, about, vaccines, ., nor, is, their, stated, goal, about, vaccination, ., breaking, :, can, blogger, reports, factual, news, accident, ., this, is, not, about, vaccines, ., at, least, we, know, she, can, read, ;, positive, steps, towards, competence"
9,"does, it, hurt, your, head, actually, use, your, brain, you, seem, be, incredibly, brainwashed, ., places, with, highest, vaccination, rates, world, have, some, highest, case, counts, ., everyone, that, disagrees, with, your, compliance, totalitarian, dictatorships, must, be, called, names"
10,"world, -, wide, mass, vaccination, leading, world, -, wide, digital, passport, is, their, goal, ., #, populationcontrol"
11,"as, vaccinations, ..., you, ', all, still, need, proof, vaccination, restaurants, ,, movie, theaters, ,, museums, ,, large, arenas, ,, gyms, fitness, centers, ., bow, ny, vaccination, rate, is, now, at, seventy-five, i, more, at, 11pm, three, /, three"
12,"following, tweet, didn, ', i, even, age, twelve, hours, before, prince, charles, announced, his, infection, ,, even, after, vaccination, &, amp, ;, booster, ., so, ,, yes, ,, clearly, previous, infection, protects, you, at, this, point, ., does, boris, johnson, exude, some, sort, hypnotoad, -, like, pheromone, or, something"
13,vaccination
14,"private, businesses, can, enforce, vaccination, mandates, if, they, choose, do, so, ."
15,"one, -, I, understand, exactly, what, needs, to, be, understood, ., lame, link, two, -, even, if, it, remains, lame, ,, when, vaccination, is, compulsory, ,, you, will, come, back, to, bawl, ., bye, there"
16,"story, with, martha, mccall, ,, am, lac, senior, medical, advisor, do, ., robert, redfield, comments, confusing, messaging, ,, spread, #, omicron, importance, maintaining, your, #, vaccination, status, ., watch, full, interview, below, backhand_index_pointing_down"
17,"world, ', i, top, virologist, ,, luc, montagnier, ,, winner, nobel, prize, his, discovery, hiv, ,, died, today, ., he, warned, us, beginning, that, couid, -, nineteen, was, lab, -, made, ,, that, mass, vaccination, with, leaky, vaccines, would, generate, endless, new, variants, ., right, both, counts, ., rip, ."
18,"obvious, ,, common, sense, solution, was, always, take, free, safe, vaccination, against, deadly, virus, then, carry, about, your, business, like, non, -, lunatic"
19,"sure, tooting, ', i, do, ., remember, ,, i, grew, up, jackson, ,, mi, ,, at, least, place, long, associated, with, republican, party, ., i, am, familiar, with, conservative, mien, /, mindset, ,, &, amp, ;, i, can, speak, that, ,, i, think, ,, plain, language, ., i, think, couid, should, be, mandatory, vaccination, ."
20,"which, variants, were, involved, what, was, %, vaccination, /, masking, /, ventilation, around, kids, at, time, it, ', i, meaningless, say, "", kids, aren, ', i, danger, i, unless, you, mean, say, "", kids, have, not, nor, will, not, ever, be, danger, ,, no, matter, what, i"
21,"it, has, last, i, looked, we, hadn, ', i, actually, hit, county, vaccination, threshold, because, difference, between, mah, cac, data, ., i, bet, most, secondary, schools, have, ,, though, ."
22,"oh, i, see, ., so, what, your, saying, is, that, alberta, businesses, that, are, required, ask, proof, vaccination, can, i, i, rely, alberta, government, they, have, rely, other, provinces"
23,"this, vision, public, health, decisions, tied, local, conditions, spread, ,, vaccination, &, amp, ;, vulnerability, also, sounds, reasonable, me, ., however, ,, two, years, into, this, ,, acting, as, if, that, ', i, what, is, happening, is, naive, at, best, ., partisan, politics, ,, even, at, local, level, often, is, big, factor, ."
24,"oh, you, mean, someone, told, you, they, i, i, kill, you, if, you, didn, i, i, get, vaccinated, don, i, i, understand, ., i, thought, you, said, no, vaccination, ., how, did, you, lose, your, bodily, autonomy, then"
25,"their, concerns, are, real, ,, even, if, unfounded, ., addressing, them, with, empathy, genuine, good, will, is, how, you, persuade, them, ., canada, has, similar, levels, adult, vaccination, usa, ."
26,"it, seems, like, steel, man, here, is, about, many, mandates, masks, ,, vaccination, ,, testing, ,, etc, that, are, very, much, still, place, are, relatively, low, cost, but, not, zero, cost"
27,"i, ', i, kill, be, sally, field, here"
28,"jesus, christ, ., it, ', i, vaccination, ,, not, being, forced, carry, pregnancy, term, ."
29,"amazon, allow, work, without, face, masks, ,, require, vaccination, paid, couid, leave"
30,"five, /, if, governments, primary, concern, amd, justification, compulsory, couid, vaccination, is, prevent, hospitals, ,, icu, ,, emergency, depth, being, inundated, thus, running, out, medical, resources, ,, bed, space, ,, equipment, or, staff, ,, perhaps, ,, govt, should, require, all, hospitals"
31,"two, /, when, couid, vaccines, have, proven, not, prevent, spread, couid, ,, even, before, but, esp, with, omicron, where, so, called, breakthrough, cases, became, just, positive, couid, cases, be, omicron, didn, ', i, care, abt, vaccine, status, ., real, driving, force, vaccination, has, become, minimizing"
32,"pile_of_pootrudeau, pile_of_poowants, one hundred, %, vaccination, syringe, i, new, video, ***, via"
33,"i, think, they, are, now, at, eighty, %, most, games, are, never, that, full, anyway, ., you, are, meant, download, app, get, i, green, i, light, which, is, based, vaccination, status, ., that, is, allow, you, enter, stadium, ., i, am, not, ground, there, so, unsure, if, they, enforce, that, much, ."
34,"i, see, i, so, how, do, alberta, businesses, that, are, legally, still, requires, obtain, proof, vaccination, do, so, yes, there, are, those, still, legally, required, i"
35,"about, five hundred, medical, specialists, were, involved, in, the, vaccination, effort, ."
36,"reaction, vaccine, :, according, cac, ,, anaphylaxis, after, couid, -, nineteen, vaccination, is, extremely, rare, has, occurred, about, five, people, per, one, million, vaccinated, united, states, ,, or, ., five, %, vaccinations, ."
37,"chickahominy, health, district, is, holding, vaccination, clinic, february, twentyfour, three, -, six, am, at, i, ., sargent, reynolds, community, college, ., please, use, this, link, register, but, walk, -, ins, will, be, accepted, ."
38,"it, ', i, too, bad, that, it, ', i, a, right, ,, their, body, belongs, to, them, but, not, what, it, wears, you, better, fight, to, fight, the, compulsory, vaccination, required, by, businesses, ,, employers, and, this, government"
39,"do, you, have, nothing, more, report, about, other, than, documents, trump, took, gave, back, or, bullshit, that, happened, january, six, how, about, let, i, i, close, our, borders, let, i, i, end, mask, vaccination, mandates, seriously, people, person_facepalminglight_skin_tone, i, female_sign, i"
40,"conclusion, you, most, definitely, cannot, draw, that, is, that, mask, mandates, don, i, i, work, ,, since, death, rates, are, *, much, *, lower, those, states, ., again, ,, this, is, probably, primarily, due, higher, vaccination, rates, ."
41,"i, never, suggested, vaccination, was, issue, ,, one, way, or, other, ."
42,"why, hasn, i, i, trump, been, arrested, yet, we, look, like, laughingstock, rest, world, ,, still, ., also, ,, i, am, terrified, truckers, ., they, are, not, just, coming, because, vaccination, mandates, ,, they, are, coming, because, big, lie, perceived, reinstatement, tag, ."
43,"he, was, couid, positive, when, he, died, ., i, ', i, amazed, that, they, haven, ', i, spun, this, into, couid, death, push, their, vaccination, agenda"
44,"if, it, ', i, not, crossed, with, the, data, on, vaccination, ..."
45,"so, my, school, is, not, gonna, ask, vaccination, proof, because, they, i, respect, individuality, health, decisions, everyone, i, but, i, have, no, choice, stay, virtually, lol, hate, it, here"
46,"as, i, linked, above, ,, republican, -, controlled, states, ,, which, tend, be, states, without, mask, mandates, ,, are, doing, far, worse, than, democratic, -, controlled, states, ., course, ,, they, also, are, states, with, lower, vaccination, rates, ,, so, it, i, i, hard, draw, strong, conclusion, that, ."
47,"why, has, our, close, neighbor, pig, got, one, lowest, couid, vaccination, rates, world"
48,"our, vaccination, campaign, has, gone, from, exemplary, to, a, miserable, failure, ."
49,"advocacy, update, |, physician, groups, urge, supreme, court, uphold, vaccination, requirement, ;, highlights, parity, enforcement, regulatory, agenda, ;, more, ., #, mentalhealth, #, psychtwitter"
50,"me, putting, together, my, spreadsheet, what, oscar, nominees, celebrities, attended, vaccination, required, events, and, /, or, publicly, spoken, out, about, vaccine"
51,"that, was, indian, health, department, ., sorry, you, don, i, i, trust, people, that, look, like, you, ., why, do, you, think, israel, ,, with, ninety, i, vaccination, rate, ,, has, such, hard, time, with, couid, right, now"
52,"cameras, will, no, longer, require, proof, vaccination, entry, cameras, games, or, any, events, at, blue, cross, arena, beginning, thursday, ,, february, with, ."
53,"my, employer, has, mask, mandatory, vaccination, policy, ., even, if, provincial, federal, governments, remove, mandates, ,, my, employer, will, still, have, mask, mandatory, vaccination, policy, ., what, then, #, cannoli, #, poli"
54,"demystify, vaccination, against, #, covid19, provided, you, master, your, subject, ., clapping_handsmedium_skin_tone, #, let, go"
55,"we, need, have, uniformed, rule, about, mask, vaccination"
56,"so, ...., conservative, anti, -, abortion, anti, -, vaccination, people, ...., thoughts, prayers, ,, can, ', i, forget, prayers, ..."
57,"classic, simpson, ', i, paradox, ., most, deaths, are, among, elderly, people, ,, nearly, all, whom, are, vaccinated, ., with, lower, vaccination, rate, ,, total, number, fatalities, would, be, much, higher, ."
58,"sounds, like, you, i, re, planning, masking, kids, indefinitely, bus, ., what, hospitalization, rates, ,, vaccination, rates, etc, are, you, deeming, necessary, finally, let, these, kids, finally, get, back, normalcy, we, need, numbers, ."
59,"cases, have, gone, up, state, it, has, highest, vaccination, rate, as, january, ., you, ate, bullshit, obvious, fake, news, site, with, spoon, ., this, is, why, i, am, insulting, your, intelligence, ."
60,"there, ', i, lot, people, speaking, out, like, pro, -, choice, abortions, is, same, as, pro, -, choice, relating, vaccines, ., i, disagree, ., abortion, removes, choice, human, by, ending, human, life, ., forced, /, coerced, vaccination, removes, choice, by, forcing, human, risk, permanent, damage"
61,"not, delusional, at, all, ,, it, is, over, ., endemic, ., we, are, going, live, with, this, ., not, up, us, ., vaccination, ,, lockdowns, ,, masks, -, couid, is, still, here, ., live, fear, or, get, with, it, taking, precaution, as, necessary, based, age, other, health, conditions, ."
62,"tell, that, vaccinated, people, who, ', ve, died, couid, ., unfortunately, ,, that, ', i, not, true, ., vaccination, does, indeed, prevent, some, most, dire, results, couid, infection, ., that, ', i, pretty, well, established, ."
63,"tool, ......, surgeon, general, refuses, disclose, couid, -, nineteen, vaccination, status"
64,"Quebec, is, asking, all, vaccinating, physicians, to, return, to, their, regular, activities, due, to, the, sharp, drop, in, attendance, at, vaccination, clinics, ., radio, -, canada, reported, this, morning, that, vaccinations, are, twiddling, their, thumbs, #, polic"
65,"thank, you, keeping, mask, mandate, schools, ., folded_handswe, need, get, our, vaccination, rates, up, do, more, education, outreach, get, our, students, siblings, under, five, vaccinated, before, lifting, mask, mandates, ."
66,"According, to, ,, vaccination, and, abortion, are, the, same, thing, ., welcome, to, two thousand and twenty-two"
67,"care, explain, how, ', mental, health, ', has, anything, do, with, vaccine, i, ', i, not, talking, about, how, person, may, feel, about, it, one, way, or, other, ,, i, ', i, talking, about, genuine, mental, health, issue, due, vaccination, ., it, does, not, exist, ."
68,"find, fixed, vaccination, site, your, area, #, getvaccinated, today, ., visit, or, call, eight hundred and eighty-eight, one, -, love, six hundred and sixty-three, five thousand, six hundred and eighty-three, ."
